Dataset,BERT,DistilBERT,FastText,LSTM,RoBERTa
hate_speech,0.6486486486486487,0.0,0.0,0.0,0.6486486486486487
jigsaw,0.6486486486486487,0.5846153846153846,0.0,0.0,0.6301369863013698
wikipedia,0.0,0.6111111111111112,0.6842105263157895,0.7012987012987013,0.0
