Dataset,BERT,DistilBERT,FastText,LSTM,RoBERTa
hate_speech,0.48,0.52,0.46,0.48,0.48
jigsaw,0.48,0.46,0.46,0.64,0.46
wikipedia,0.56,0.44,0.52,0.54,0.48
